ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
1770,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/supervisor-zip,422,Unprocessable Entity,126,565,169
1771,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/lc-supervisor-zip,422,Unprocessable Entity,101,565,169
1772,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/scan,422,Unprocessable Entity,62,565,169
1773,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/supervisor-zip,422,Unprocessable Entity,34,564,93
1774,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/lc-supervisor-zip,422,Unprocessable Entity,38,565,169
1775,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/scan,422,Unprocessable Entity,26,565,169
1776,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/supervisor-zip,422,Unprocessable Entity,30,565,169
1777,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/lc-supervisor-zip,422,Unprocessable Entity,33,565,169
1778,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/scan,422,Unprocessable Entity,31,565,169
1779,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/supervisor-zip,422,Unprocessable Entity,27,565,169
1780,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/lc-supervisor-zip,422,Unprocessable Entity,28,565,169
1781,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/scan,422,Unprocessable Entity,27,565,169
1782,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/supervisor-zip,422,Unprocessable Entity,26,565,169
1783,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/lc-supervisor-zip,422,Unprocessable Entity,29,565,169
1784,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/scan,422,Unprocessable Entity,33,565,169
1785,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/supervisor-zip,422,Unprocessable Entity,32,565,169
1786,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/lc-supervisor-zip,422,Unprocessable Entity,30,565,169
1787,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/scan,422,Unprocessable Entity,32,565,169
1788,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/supervisor-zip,422,Unprocessable Entity,40,565,169
1789,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/lc-supervisor-zip,422,Unprocessable Entity,42,564,93
1790,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/scan,422,Unprocessable Entity,40,565,169
1791,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/supervisor-zip,422,Unprocessable Entity,33,565,169
1792,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/lc-supervisor-zip,422,Unprocessable Entity,27,565,169
1793,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/scan,422,Unprocessable Entity,48,565,169
1794,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/supervisor-zip,422,Unprocessable Entity,70,564,93
1795,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/lc-supervisor-zip,422,Unprocessable Entity,105,565,169
1796,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/scan,422,Unprocessable Entity,118,565,169
1797,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/supervisor-zip,422,Unprocessable Entity,113,565,169
1798,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/lc-supervisor-zip,422,Unprocessable Entity,90,565,169
1799,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/scan,422,Unprocessable Entity,91,565,169
1800,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/supervisor-zip,422,Unprocessable Entity,86,565,169
1801,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/lc-supervisor-zip,422,Unprocessable Entity,79,565,169
1802,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/scan,422,Unprocessable Entity,68,565,169
1803,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/supervisor-zip,422,Unprocessable Entity,65,565,169
1804,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/scan,422,Unprocessable Entity,75,565,169
1805,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/supervisor-zip,422,Unprocessable Entity,89,565,169
1806,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/scan,422,Unprocessable Entity,50,564,93
1807,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/scan,422,Unprocessable Entity,15,565,169
1808,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/scan,422,Unprocessable Entity,15,565,169
1809,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/scan,422,Unprocessable Entity,19,565,169
1810,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/scan,422,Unprocessable Entity,21,565,169
1811,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/scan,422,Unprocessable Entity,31,565,169
1812,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/scan,422,Unprocessable Entity,17,565,169
1813,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/scan,422,Unprocessable Entity,18,564,93
1814,Sat May 09 01:23:21 SGT 2026,Sat May 09 01:23:21 SGT 2026,POST,http://127.0.0.1:8000/scan,422,Unprocessable Entity,17,565,169
1815,Sat May 09 01:23:22 SGT 2026,Sat May 09 01:23:22 SGT 2026,POST,http://127.0.0.1:8000/scan,422,Unprocessable Entity,19,565,169
1816,Sat May 09 01:23:22 SGT 2026,Sat May 09 01:23:22 SGT 2026,POST,http://127.0.0.1:8000/scan,422,Unprocessable Entity,18,565,169
1817,Sat May 09 01:23:22 SGT 2026,Sat May 09 01:23:22 SGT 2026,POST,http://127.0.0.1:8000/scan,422,Unprocessable Entity,16,565,169
1818,Sat May 09 01:23:22 SGT 2026,Sat May 09 01:23:22 SGT 2026,POST,http://127.0.0.1:8000/scan,422,Unprocessable Entity,18,565,169
