ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
12,Sat May 09 01:10:02 SGT 2026,Sat May 09 01:10:02 SGT 2026,GET,http://127.0.0.1:8000/WEB-INF/web.xml,404,Not Found,125,553,22
13,Sat May 09 01:10:02 SGT 2026,Sat May 09 01:10:02 SGT 2026,GET,http://127.0.0.1:8000/WEB-INF/applicationContext.xml,404,Not Found,18,553,22
14,Sat May 09 01:10:02 SGT 2026,Sat May 09 01:10:03 SGT 2026,GET,http://127.0.0.1:8000/health?-s,200,OK,219,546,15
15,Sat May 09 01:10:03 SGT 2026,Sat May 09 01:10:03 SGT 2026,POST,http://127.0.0.1:8000/health?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Method Not Allowed,151,574,31
16,Sat May 09 01:10:03 SGT 2026,Sat May 09 01:10:03 SGT 2026,POST,http://127.0.0.1:8000/health?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Method Not Allowed,0,574,31
17,Sat May 09 01:10:03 SGT 2026,Sat May 09 01:10:03 SGT 2026,GET,http://127.0.0.1:8000/health,200,OK,4,546,15
18,Sat May 09 01:10:05 SGT 2026,Sat May 09 01:10:05 SGT 2026,GET,http://127.0.0.1:8000/health?class.module.classLoader.DefaultAssertionStatus=nonsense,200,OK,2,546,15
19,Sat May 09 01:10:05 SGT 2026,Sat May 09 01:10:05 SGT 2026,POST,http://127.0.0.1:8000/health,405,Method Not Allowed,7,574,31
20,Sat May 09 01:10:05 SGT 2026,Sat May 09 01:10:05 SGT 2026,POST,http://127.0.0.1:8000/health,405,Method Not Allowed,14,574,31
21,Sat May 09 01:10:05 SGT 2026,Sat May 09 01:10:05 SGT 2026,GET,http://127.0.0.1:8000/latest/meta-data/,404,Not Found,9,553,22
22,Sat May 09 01:10:05 SGT 2026,Sat May 09 01:10:05 SGT 2026,GET,http://127.0.0.1:8000/latest/meta-data/,404,Not Found,0,553,22
